0,0,64,255
30,219,255,245
44,255,255,143
171,255,200,35
228,255,125,0
307,109,180,255
326,255,125,0
446,255,219,109
670,255,0,190
687,35,90,255
702,255,225,145
1113,180,235,255
1225,255,200,35
1439,71,209,255
1596,219,255,235
1692,255,209,71
1720,109,219,255
1781,219,255,245
1875,255,219,109
2072,200,255,145
2397,219,255,255
2749,255,209,71
2783,71,255,209
2960,255,119,71
3152,255,225,145
3315,255,125,0
3580,219,255,245
3684,255,219,109
3786,219,255,255
3861,0,125,255
3992,219,245,255
4015,255,64,0
4075,180,235,255
4090,255,0,125
4157,255,145,35
4181,255,180,109
4243,255,200,145
4430,255,235,180
5160,255,125,0
5218,255,225,145
