0,72,67,125
35,145,226,255
325,0,0,255
354,44,143,255
389,204,255,235
550,108,145,255
626,145,255,226
722,0,0,255
1200,182,255,182
1300,255,218,182
1386,145,200,255
1675,255,236,182
1774,182,255,182
1809,108,218,255
1904,145,255,108
1972,255,236,182
2237,145,200,255
2311,255,145,36
2342,0,0,255
2996,0,255,190
3254,0,0,255
3295,255,226,145
3642,217,255,255
3703,255,218,182
3735,217,217,255
5075,255,181,108
5108,255,236,182
5146,0,63,255
5174,255,244,217
5296,182,255,182
5352,145,173,255
5577,255,236,182
5637,0,0,255
5856,255,226,145
6059,217,235,255
6852,255,236,182
6896,255,218,108
7333,217,244,255
7494,0,63,255
7612,217,244,255
7767,255,226,145
7955,0,0,255
8322,255,244,217
8370,182,236,255
8530,0,0,255
8638,255,236,182
10008,200,255,182
10134,255,255,182
10177,217,255,255
10211,0,0,255
