0,72,208,255
101,255,87,0
135,102,176,255
140,255,159,182
155,138,181,255
182,111,171,255
280,72,208,255
297,255,191,32
396,133,202,255
408,72,208,255
941,36,36,255
1159,0,255,191
1325,0,0,255
1449,182,255,236
1762,36,199,255
1837,0,0,255
2061,255,127,0
2302,0,191,255
2618,255,182,182
2742,36,145,255
2874,199,255,36
2920,108,255,255
3239,72,162,255
3277,255,217,227
3313,182,255,255
3605,72,162,255
3836,191,255,0
3924,108,217,255
3959,255,145,108
4200,0,0,255
4247,108,255,255
4358,182,255,217
4667,255,217,108
4949,182,217,255
5201,36,199,255


