0,144,172,255
41,255,255,181
56,109,109,255
109,255,181,235
150,255,144,144
166,144,144,255
263,109,218,255
348,218,235,255
384,181,255,255
427,145,108,255
440,145,200,255
459,255,36,90
469,109,181,255
481,255,145,109
505,255,227,145
587,255,145,109
604,62,0,255
620,255,145,173
637,217,236,255
695,72,208,255
768,255,200,181
837,145,227,255
855,217,255,109
875,255,200,145
939,217,244,255
1020,145,227,255
1112,255,236,181
1378,145,227,255
1490,255,214,3
1503,145,117,255
1540,255,237,173
1669,145,157,255
1859,133,174,255
2006,32,169,255
2088,176,255,234
2126,135,136,255
2171,255,174,60
2288,151,216,255
2324,255,178,30
2413,130,190,255
2660,255,211,248
2860,255,225,124
2948,228,223,255
2970,223,249,255
3050,153,217,255
3234,119,142,255
3429,89,183,255
3463,255,140,235
3655,146,192,255
3754,255,16,133
3776,150,217,255
4041,88,140,255
4174,255,187,59
4328,206,255,231
4527,255,210,105
4585,154,216,255
4719,237,255,249
4774,142,235,255
4813,255,158,27
4932,123,109,255
4952,160,249,255
5180,0,255,235
5211,238,255,251
5280,104,230,255
