0,200,145,255
54,255,226,145
98,145,200,255
219,182,255,218
263,182,218,255
372,255,226,145
877,145,200,255
932,255,226,145
1283,217,235,255
1519,255,226,145
1629,217,255,255
1799,255,226,145
2791,182,218,255
2897,255,226,145
3084,0,126,255
3271,255,226,145
3473,182,255,218
3802,255,226,145
4632,255,145,36
4841,255,90,36
4991,182,255,218
5166,255,244,217
5298,255,226,145
5540,255,208,71
5595,255,226,145
5882,217,255,235
6267,255,162,71
6322,36,90,255
6353,255,0,63
6378,36,255,90
6389,255,36,200
6400,255,255,255
