0,255,208,71
81,217,255,217
189,217,244,255
215,255,0,0
245,190,0,255
659,235,217,255
933,255,236,182
1354,255,218,108
1949,145,200,255
2037,255,218,108
2666,200,182,255
2815,255,244,217
2903,226,217,255
3020,145,145,255
3525,190,0,255
3566,182,182,255
3675,255,218,182
3934,255,255,0
3963,255,218,182
4258,145,173,255
4348,255,200,145
4924,255,255,255
4982,126,0,255
4988,182,218,255
5273,71,71,255
5370,255,235,217
5424,108,145,255
5456,145,226,255
5850,255,218,182
6159,190,0,255
6294,255,218,182
6453,217,217,255
6597,255,244,217
7209,145,200,255
