0,182,108,255
34,255,144,36
65,72,255,72
160,255,191,0
191,218,255,255
284,255,182,108
638,255,127,0
695,255,163,72
736,72,208,255
903,255,227,144
971,36,255,36
1106,163,72,255
1136,255,182,108
1192,255,36,36
1225,0,0,255
1287,255,127,0
1360,144,199,255
1674,255,235,182
1923,0,0,255
2213,255,144,36
2237,255,208,72
2287,255,227,144
2366,127,255,0
2596,108,218,255
3000,255,218,108
3176,199,36,255
3334,255,235,182
3649,255,144,144
3831,182,218,255
4072,0,191,255
4306,255,227,144
4388,36,36,255
4438,255,208,72
4461,144,227,255
4533,255,199,36
4697,218,255,244
4779,199,182,255
4880,255,255,182
4970,255,182,108
5109,108,218,255
5197,36,255,36
5277,218,255,244
